nom,alice.martin@univ-lille.fr,bob.dupont@univ-lille.fr,claire.bernard@univ-lille.fr,david.moreau@univ-lille.fr,eva.laurent@univ-lille.fr,frank.simon@univ-lille.fr,george.michel@univ-lille.fr,hannah.garcia@univ-lille.fr,ismael.roux@univ-lille.fr,julia.leroy@univ-lille.fr
alice.martin@univ-lille.fr,0,35,30,20,15,0,0,0,0,0
bob.dupont@univ-lille.fr,40,0,25,15,10,5,5,0,0,0
claire.bernard@univ-lille.fr,25,30,0,20,15,5,5,0,0,0
david.moreau@univ-lille.fr,30,25,20,0,15,5,5,0,0,0
eva.laurent@univ-lille.fr,25,20,25,20,0,5,5,0,0,0
frank.simon@univ-lille.fr,10,15,20,10,25,0,15,5,0,0
george.michel@univ-lille.fr,5,10,15,5,20,20,0,15,10,0
hannah.garcia@univ-lille.fr,0,5,25,5,10,15,20,0,20,0
ismael.roux@univ-lille.fr,30,25,20,15,10,0,0,0,0,0
julia.leroy@univ-lille.fr,15,20,25,10,5,5,5,0,15,0
